title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",Ozuna,0.8,0.8370000000000001,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.7020000000000001,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0,16
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",Megan Thee Stallion,0.8,0.8370000000000001,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.7020000000000001,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0,16
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",LISA,0.8,0.8370000000000001,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.7020000000000001,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0,16
Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11.0,-6.035,0.0,0.141,0.0006190000000000001,4.5e-06,0.32299999999999995,0.331,136.00799999999998,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0,22
Way 2 Sexy (with Future & Young Thug),Future,0.8029999999999999,0.597,11.0,-6.035,0.0,0.141,0.0006190000000000001,4.5e-06,0.32299999999999995,0.331,136.00799999999998,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0,22
Way 2 Sexy (with Future & Young Thug),Young Thug,0.8029999999999999,0.597,11.0,-6.035,0.0,0.141,0.0006190000000000001,4.5e-06,0.32299999999999995,0.331,136.00799999999998,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0,22
Hold On,Justin Bieber,0.6579999999999999,0.634,1.0,-5.797000000000001,0.0,0.0413,0.0106,0.0,0.132,0.29,139.98,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,170813.0,4.0,52
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.6759999999999999,10.0,-5.483,1.0,0.027000000000000003,0.0377,0.0,0.154,0.721,99.04799999999999,spotify:track:6fRxMU4LWwyaSSowV441IU,227395.0,4.0,54
Beautiful Mistakes (feat. Megan Thee Stallion),Megan Thee Stallion,0.713,0.6759999999999999,10.0,-5.483,1.0,0.027000000000000003,0.0377,0.0,0.154,0.721,99.04799999999999,spotify:track:6fRxMU4LWwyaSSowV441IU,227395.0,4.0,54
Watermelon Sugar,Harry Styles,0.5479999999999999,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,spotify:track:6UelLqGlWMcVH1E5c4H7lY,174000.0,4.0,67
